File (ID),Volume (mm³),Surface Area (mm²),AABB L,AABB W,AABB H,Trimesh OBB L,Trimesh OBB W,Trimesh OBB H,PCA-OBB L,PCA-OBB W,PCA-OBB H
0521_01_mesh_1.ply,668.086,496.885,16.568,13.264,9.589,17.869,15.532,13.504,16.320,13.399,7.992
0521_01_mesh_10.ply,132.459,198.889,11.572,9.134,6.467,14.730,10.577,10.640,13.050,8.391,5.771
0521_01_mesh_11.ply,549.581,708.363,34.797,12.381,8.083,35.223,14.499,11.896,34.867,12.261,7.231
0521_01_mesh_12.ply,506.242,451.998,24.515,8.024,6.098,24.997,10.277,7.979,24.419,6.730,5.672
0521_01_mesh_2.ply,378.916,476.560,30.768,8.833,5.891,31.952,12.011,10.836,30.960,9.183,5.274
0521_01_mesh_3.ply,3586.363,1929.866,56.433,18.781,10.792,58.263,22.426,12.738,56.900,17.453,10.953
0521_01_mesh_4.ply,6907.698,3096.639,80.800,22.290,13.783,82.415,26.050,14.915,80.974,20.522,13.450
0521_01_mesh_5.ply,856.435,771.468,40.196,8.688,7.082,40.666,11.217,9.774,40.370,8.846,6.227
0521_01_mesh_6.ply,216.762,254.158,16.704,9.026,5.326,17.831,10.654,8.001,17.075,7.719,5.520
0521_01_mesh_7.ply,1628.778,1492.429,85.619,20.013,8.028,86.110,21.464,8.862,85.606,19.295,8.035
0521_01_mesh_8.ply,1287.683,1028.022,50.187,12.204,9.678,51.531,16.544,15.507,50.668,10.430,8.970
0521_01_mesh_9.ply,1172.456,776.134,16.352,13.582,13.194,22.519,21.588,15.280,18.865,17.774,15.631
